"Region","ItemType","Sales.Channel","Order.Priority","Total.Cost","Wait.Cat"
8,12,2,1,2.54684311331447,3
8,9,2,2,9.35969636593931,3
8,9,1,2,10.4000123620803,3
8,3,2,2,1.88280833047367,3
8,5,2,4,8.16468345294182,3
8,3,1,3,2.17076404296459,1
8,9,1,3,4.02298255480767,1
8,9,1,3,11.4660681354454,2
8,10,1,3,1.40801600958273,3
8,1,1,2,2.4408505755655,3
8,2,1,3,1.68411510093913,3
8,8,2,1,7.16753986485312,1
8,7,1,1,1.72601875482754,1
8,6,1,1,1.04603582536207,3
8,12,2,2,1.48170773761289,3
8,10,1,1,1.70925699682659,3
8,7,2,3,9.96171255853675,3
8,6,2,4,1.11559663357771,3
8,11,1,2,2.89735095222432,3
8,2,1,2,1.33237837979651,1
8,2,2,1,1.06167942355611,3
8,1,1,2,1.97501888242341,3
8,10,1,2,1.13827206926248,2
8,7,1,1,2.26200470730735,3
8,8,1,3,3.7267959647821,2
8,11,1,3,1.66604445333595,2
8,11,1,1,2.92046935995855,3
8,5,2,1,1.90039298847921,2
8,7,2,2,4.13740524740096,1
8,1,2,4,2.62079278194168,3
8,4,2,1,1.48718460272773,3
8,8,1,3,7.86583300289258,3
8,7,1,4,4.17152344971487,3
8,10,2,1,1.16707706089348,3
8,7,1,1,2.68903252981693,3
8,1,1,3,1.98931335676171,3
8,4,2,3,2.67916173177719,2
8,1,2,2,1.05344571331922,2
8,4,2,2,2.69787917423849,2
8,4,2,1,1.71575337124544,3
8,3,1,3,3.54482094868597,3
8,6,1,3,1.08909069274008,3
8,5,1,4,2.24168881378442,3
8,5,2,1,1.05003355876308,2
8,2,2,3,1.21351778151659,3
8,4,1,4,1.65420178161311,3
8,5,2,2,3.67311518658346,2
8,6,2,3,1.09087312122539,2
8,9,2,4,1.33961077919445,3
8,10,1,1,2.19571138820253,3
8,1,1,1,1.29939475708106,1
8,9,2,4,8.39552721075294,3
8,11,1,2,2.39804360257305,2
8,1,2,3,3.89300099804994,3
8,11,2,1,3.0194764539508,1
8,4,1,3,2.4856881678744,1
8,9,2,1,5.06973349525471,3
8,12,2,2,1.7448200255125,3
8,2,1,2,1.07777757164662,1
8,8,2,1,4.70579599612299,2
8,12,1,1,1.08031560698881,3
8,10,2,1,1.31769755451542,3
8,8,1,4,4.4125823600507,3
8,11,1,1,1.86355606723927,3
8,11,1,3,1.11195652883618,3
8,5,1,1,1.3409270469979,2
8,4,1,4,1.91498614821324,3
8,3,2,1,3.67016637647613,3
8,5,1,2,7.83562819521085,3
8,5,2,2,2.8580373928166,3
8,11,2,1,2.71717814412167,2
8,8,2,4,3.76570583118032,3
8,9,2,2,3.97364798179479,3
8,2,1,4,1.31198218245854,1
8,5,2,4,4.93893388043693,3
8,3,2,1,3.38593714967627,3
8,1,2,4,3.35191310177389,3
8,8,2,4,1.02394988819158,3
8,4,1,4,2.13473612172516,3
8,6,2,2,1.03626320021845,3
8,1,2,4,2.37526416389567,1
8,6,1,4,1.0919333588589,3
8,2,1,3,1.36340248072822,2
8,5,1,3,4.82732870549536,3
8,10,1,2,1.15025171531463,2
8,9,2,3,8.74837665686675,2
8,11,1,3,2.46413209424808,2
8,3,1,3,1.38887959069513,3
8,5,1,2,4.2008996590491,2
8,3,1,2,4.04959037411123,2
8,11,1,1,2.29049274920076,3
8,3,2,2,2.76090386785775,2
8,11,1,4,3.15215601138203,3
8,8,1,4,5.62156749456677,3
8,2,1,2,1.61675294727885,1
8,8,1,1,2.9284488845758,3
8,4,1,1,2.58215498671338,3
8,1,2,3,3.30566627303235,3
8,10,1,1,2.26745466175077,1
8,10,1,1,2.2370344369442,1
8,12,1,3,1.1107625448364,3
8,7,1,4,1.89660976639709,1
8,11,2,3,2.25983573024885,3
8,9,2,4,11.4703580983161,3
8,10,2,1,2.1860199891491,3
8,11,2,3,2.99811705550069,3
8,2,2,3,1.781016574882,3
8,9,2,3,11.5089677641523,3
8,11,2,1,3.32001575449579,3
8,10,1,1,1.29764174258542,3
8,3,2,2,4.27961617267751,2
8,10,2,3,1.62041917217023,3
8,12,1,4,2.7779861164741,2
8,6,1,1,1.13650943675454,1
8,7,1,4,11.3209377152361,3
8,6,1,3,1.14585182053963,3
8,5,1,2,6.36604005291566,1
8,1,2,3,2.40805736973058,3
8,7,1,1,5.84001360158219,2
8,7,1,3,11.8106990065164,3
8,7,2,2,7.46888261527852,3
8,3,1,4,1.28758693418361,3
8,8,2,1,1.03854108809091,2
8,1,1,1,1.35489095157091,3
8,3,2,2,3.57293897708214,1
8,4,2,3,2.20924594075377,3
8,6,2,4,1.02518448523646,1
8,8,1,3,6.48453274575583,3
8,8,1,2,6.50259804086929,3
8,3,1,2,3.12609946558152,3
8,5,1,2,4.26282253030701,1
8,12,1,2,2.59403586697824,3
8,6,2,4,1.03286736663867,3
8,8,1,3,4.35560719853902,3
8,8,2,4,3.76292655500902,2
8,4,2,1,1.23845858848246,3
8,8,1,3,4.91632616609906,1
8,1,2,4,4.23312540215819,3
8,8,2,2,4.68773070100953,3
8,2,1,3,1.65098104855867,2
8,8,1,1,3.53850000417644,3
8,2,1,3,1.01322868658468,3
8,12,2,3,1.97367950833356,3
8,5,1,1,2.88755876167211,2
8,9,1,2,2.63732454757654,1
8,8,2,2,6.27400257577975,3
8,5,1,4,4.51483421565895,2
8,7,1,1,11.453008175806,3
8,8,2,4,4.17425942836161,2
8,1,1,1,3.20896835839094,3
8,12,2,2,1.95109802942993,3
8,10,1,2,1.57532724601889,3
8,1,1,2,4.40129568849107,1
8,8,1,3,6.89030706676582,3
8,2,2,3,1.44936346567754,2
8,6,1,1,1.03454223478436,3
8,5,1,4,6.33291851712654,2
8,6,2,1,1.03915196362568,3
8,12,2,1,2.57526025530556,3
8,4,1,1,2.58233496212166,1
8,3,1,2,3.6518727194473,2
8,8,1,2,2.9805603127877,3
8,10,1,2,1.05710660219007,3
8,12,2,4,3.32298630394599,2
8,1,2,1,2.96259888891327,1
8,10,2,4,1.62230361087506,2
8,3,2,1,2.25952215669708,1
8,12,1,4,3.19992993014531,3
8,6,2,4,1.04943165894185,3
8,8,1,1,3.23000034916199,3
8,11,1,4,1.35093050443676,1
8,11,2,3,1.66629574037654,2
8,2,1,4,1.69161715053471,1
8,10,1,3,1.52673564798715,3
8,6,1,4,1.13449652182716,3
8,3,1,4,3.17183360815361,2
8,12,1,1,2.73155453625653,3
8,3,2,1,1.69614527449426,3
8,8,2,4,1.81117986371268,2
8,12,2,3,2.33447572182752,3
8,7,2,2,3.71257859923422,2
8,5,1,4,3.11796944542246,2
8,4,1,2,1.6984757320504,1
8,11,2,1,2.13368963587294,1
8,5,2,1,1.78158747967044,3
8,3,1,3,1.639231674849,3
8,6,1,1,1.0339890673234,1
8,4,2,2,2.70579809220288,2
8,1,1,1,4.36261652263451,1
8,3,2,3,2.4241650699566,1
8,5,2,1,2.10776260385453,2
8,6,2,1,1.08375877304694,3
8,9,2,2,10.1361796455332,3
8,6,2,4,1.07962538285255,3
8,11,1,2,2.78452307099965,1
8,7,2,3,9.5963176176265,1
8,10,2,4,2.07066541986046,3
8,2,2,1,1.01557307708329,2
8,9,1,1,5.55020933677138,3
8,5,2,1,2.29497128440168,3
8,4,1,1,1.29227123555868,3
8,12,1,4,2.14392863579801,3
8,3,1,1,3.80127091851612,1
8,1,1,1,2.15664279166293,2
8,6,1,2,1.07397078214052,3
8,10,1,4,1.46253012925823,2
8,3,1,3,2.52274755505643,3
8,6,2,1,1.09157994631439,2
8,3,1,2,1.98443975841164,3
8,1,1,2,1.9670307938226,3
8,10,2,4,2.10808498842783,1
8,12,2,4,2.7262263221332,1
8,7,1,3,2.2587029457931,3
8,4,2,4,2.15327358877817,2
8,1,2,2,3.01683380625562,3
8,12,1,2,1.13410519718622,1
8,3,1,3,2.6463991257143,2
8,3,1,1,1.36482681941647,3
8,12,2,2,3.40950635232956,2
8,8,1,4,2.71583425747125,1
8,7,2,1,11.315434779379,3
8,5,1,3,2.16464524140539,3
8,11,1,4,2.92172579516149,2
8,3,1,2,3.68846003350497,2
8,8,2,1,7.94087345951771,2
8,6,2,3,1.05098360098509,3
8,11,1,1,2.14575141382123,1
8,12,1,4,1.56949640840678,1
8,2,1,3,1.15795572669935,2
8,10,2,1,1.2098807400461,2
8,8,1,4,4.85448727128761,3
8,12,1,2,1.17876070602936,2
8,3,2,4,1.26793819144894,3
8,9,2,4,2.70703644422516,3
8,1,2,2,3.48939231085102,3
8,9,2,4,10.2584435873477,3
8,6,2,4,1.02424717370539,1
8,11,2,3,3.19663381756637,3
8,10,1,3,1.13369557526503,3
8,4,1,2,1.24025834256528,3
8,10,1,3,2.31443102660694,1
8,5,2,3,6.99606926629552,1
8,8,2,2,5.22621545919916,2
8,10,1,1,1.55567524238278,3
8,9,1,4,1.6463431244484,1
8,10,1,2,1.76148286950337,2
8,1,1,1,3.72987582030704,3
8,5,2,4,2.67586894597648,1
8,11,2,1,3.36625256996425,2
8,12,2,4,2.53466433817543,1
8,5,1,2,6.43012302433372,2
8,7,1,4,2.36545990142049,3
8,3,2,4,1.51693518989697,3
8,10,2,4,1.64747432786103,1
8,12,1,3,2.15154037025991,1
8,6,2,1,1.09460700158687,1
8,9,2,3,3.40415541071141,3
8,10,2,3,1.97671269014811,3
8,7,2,3,4.08127530165872,3
8,6,1,2,1.0374617297172,1
8,3,1,2,3.32902355003101,3
8,10,2,1,2.17094447951045,3
8,9,1,3,9.18702536039425,3
8,11,2,1,2.35532480567285,3
8,6,1,4,1.01100188616797,3
8,4,2,2,1.80124169017923,3
8,4,2,2,1.78360410016763,1
8,5,1,1,1.21132103738833,3
8,3,1,1,4.09871223094792,1
8,9,1,2,11.5400699949648,3
8,1,2,1,4.4799152973517,3
8,10,2,2,1.33223465309555,3
8,2,2,3,1.57877382120124,3
8,10,1,2,1.01793719768249,2
8,6,1,4,1.07203469602716,2
8,5,1,4,6.21123287477089,2
8,2,1,4,1.06558674105381,1
8,7,2,1,1.75903636997004,3
8,11,1,3,3.25392726282076,3
8,6,1,4,1.15187519955897,1
8,12,1,1,2.20659858286763,1
8,11,2,4,2.7093882458634,2
8,11,2,2,2.59932452208521,3
8,1,2,1,3.43515739350867,3
8,12,2,3,2.13200358514104,3
8,6,2,2,1.05785209695867,3
8,10,1,1,1.29737253705616,2
8,7,1,1,1.22635217900448,1
8,5,2,1,4.79852737002657,3
8,6,1,4,1.10654619928591,2
8,6,1,1,1.02759690999675,1
8,8,2,2,6.87710550495214,2
8,1,2,3,2.05363849128404,1
8,11,2,3,1.40772137560998,3
8,5,2,1,1.36108798182605,1
8,10,1,1,1.78907643625269,3
8,5,2,2,2.05736026678414,2
8,8,1,1,3.15218061636556,2
8,12,2,1,1.90593507162267,3
8,6,1,2,1.11851612851056,2
8,4,1,2,2.34476742318986,3
8,6,1,3,1.10250500366834,2
8,5,2,3,5.5653629268832,3
8,7,2,2,11.3297424126074,3
8,3,2,2,2.97670126651271,2
8,9,1,2,9.28462201570233,3
8,4,2,1,1.74148985462972,3
8,3,2,4,3.07494498018608,1
8,6,2,3,1.02828836932295,3
8,3,2,1,1.50846590423547,3
8,9,2,4,3.39021303138169,3
8,7,2,1,4.59635009788162,3
8,7,2,1,1.96374558385349,3
8,7,1,1,4.67339119988077,3
8,12,2,1,2.5148738285745,1
8,4,2,4,2.10216057282618,3
8,9,2,1,9.77367778296037,1
8,6,2,2,1.13094703061934,3
8,7,1,2,1.73152169068463,2
8,9,1,2,1.01250111030475,1
8,7,2,2,11.0050691970395,3
8,3,1,3,1.82555595940195,3
8,7,1,1,2.78368302655874,3
8,1,2,3,1.09969254206076,3
8,4,1,4,2.60483188815687,3
8,9,1,2,1.34926319565349,1
8,7,2,2,5.56816857024233,2
8,7,1,3,3.32957426358129,3
8,11,1,4,1.7482153156087,3
8,9,2,1,9.06905138145042,3
8,7,1,4,4.92652624930655,3
8,10,1,2,1.12898447850295,3
8,5,1,1,5.73889097308268,3
8,9,2,2,11.0199119968942,2
8,3,1,4,2.75616106788731,3
8,1,1,4,1.87537798777118,1
8,1,2,1,3.11899725520285,3
8,9,2,4,2.17508104826027,3
8,3,2,1,2.46109115544073,1
8,6,1,2,1.01184700312221,3
8,9,2,2,4.93459966482814,3
8,11,1,3,3.03379981526439,3
8,11,1,1,2.57469839210745,3
8,9,2,3,3.58433385128016,3
8,4,1,1,2.3992999718992,3
8,11,2,4,2.42040814918552,3
8,10,2,3,1.85557020198034,1
8,4,2,4,1.40295611165191,3
8,6,2,2,1.04079610024576,1
8,10,2,3,2.22249733836407,3
8,8,1,3,7.87833974566343,3
8,8,1,4,4.8899230424717,2
8,1,1,2,2.54974083596604,1
8,12,2,3,1.9381580808447,3
8,2,1,1,1.17178763064119,3
8,11,1,1,2.95916756420932,1
8,12,2,4,2.55064898054542,3
8,12,1,2,2.22004598041699,3
8,2,1,2,1.67020505064733,1
8,1,1,1,2.74397751668052,3
8,9,1,1,6.65165730381965,2
8,4,2,3,2.39084112770997,3
8,11,1,2,2.0917247000945,3
8,6,1,2,1.15276641380163,3
8,9,2,4,7.9397186557427,3
8,11,2,1,2.952634101154,3
8,11,1,4,2.20832188692801,3
8,4,1,3,1.10059742573871,3
8,7,2,2,6.53338351957455,2
8,11,2,3,1.06195040775888,2
8,5,2,1,4.80644773728049,1
8,7,2,4,2.37096283727758,1
8,12,1,4,2.58617040803428,3
8,11,1,2,1.11773613076974,1
8,1,1,1,1.45747482623397,3
8,9,2,2,8.86527814509291,3
8,7,2,4,7.00773659045503,1
8,6,2,4,1.0572681979721,2
8,10,1,1,2.01292083383382,3
8,1,2,1,2.73893240809053,2
8,11,1,3,2.99962477774423,3
8,5,1,1,4.89069164352671,1
8,5,2,3,8.13948228440662,1
8,11,1,4,2.75059932052007,3
8,3,1,2,4.07025543112528,2
8,11,1,1,1.18583491876949,2
8,2,2,1,1.27837925197835,3
8,2,1,4,1.08863991429022,3
8,7,1,4,5.4988315784431,1
8,8,2,4,4.52583786403123,3
4,3,1,2,2.28425247082866,3
5,7,1,1,3.16008383918316,3
3,7,2,1,10.18182999282,3
4,12,2,1,1.9429788460039,3
7,11,2,3,2.48348119637347,3
7,5,1,4,4.42194990877209,3
4,8,1,3,5.96133400650835,2
4,10,1,2,1.26641390119106,3
4,9,1,4,6.59481529578308,1
4,7,1,3,6.30446138791993,3
1,5,2,4,5.17294473112088,1
1,9,2,3,6.55620562994692,1
7,3,1,4,3.38525960682335,3
7,8,1,4,6.19548802394049,2
4,3,2,1,4.25827357281053,1
5,5,1,2,7.21063921553803,3
4,1,2,1,3.81269968632599,3
7,7,2,3,9.84615090553803,1
4,9,1,2,5.20593981639894,2
3,1,1,2,4.20747943349243,2
7,8,2,1,7.58443129054832,3
5,10,1,3,1.24380063673308,3
7,6,2,3,1.0614015881665,2
4,3,1,1,3.54211077727429,2
7,7,2,2,1.78434987491261,3
4,9,1,1,5.41614799706249,1
2,1,1,1,3.19551473548431,3
5,7,2,4,4.9232244877923,2
4,4,2,4,2.02765075379757,3
6,12,2,1,1.06610703599327,3
5,4,2,3,1.51148128284575,2
5,2,2,3,1.08723327999104,2
7,2,1,1,1.76429325599186,3
4,10,1,3,1.74775338751102,3
7,11,2,1,1.55170884986774,3
1,5,1,2,4.95045441462445,3
4,10,2,4,2.10943101607414,1
2,9,2,3,6.70635433042088,3
4,12,1,4,3.17988569606231,3
2,10,1,1,1.26533707907401,1
7,4,2,3,2.15237371173676,2
1,1,2,1,3.04290020063722,3
4,8,1,4,6.10307709124472,3
4,9,2,4,7.32196400236412,1
2,4,2,3,2.7232557068062,3
7,8,1,2,7.59415875714787,3
1,7,2,1,5.14334192207559,1
7,4,1,4,1.46072821771032,3
7,11,2,4,1.7720875844647,3
7,12,1,1,2.14748077854689,1
7,2,1,3,1.24712071199678,2
7,1,1,1,4.06411426439365,2
5,3,1,2,1.74763853131617,3
5,8,1,3,4.66271721546782,2
5,8,1,2,1.59856523660813,2
5,6,2,2,1.08242195168295,3
7,2,2,1,1.17874265578709,3
7,12,1,4,2.78813509575663,3
4,4,2,3,1.38891802980594,2
2,4,1,4,1.39017785766391,3
4,12,2,2,3.19130329775516,3
6,3,2,3,2.74938563935811,3
1,7,1,1,3.62122986400665,2
5,7,1,3,4.24526279019977,2
7,7,1,4,8.21838247901312,1
5,11,1,2,2.23973276700169,2
4,7,2,4,8.5188427768098,3
6,12,2,3,1.77019247371882,3
3,3,2,4,1.46273176166339,1
2,2,1,3,1.13013562611575,3
2,2,2,1,1.06418010675464,3
5,2,1,4,1.60503099478576,3
4,2,2,1,1.65402875620687,2
4,10,2,4,1.09143030717094,1
1,10,2,4,2.30204757226091,3
3,7,1,3,3.63003456137798,2
4,6,2,4,1.04409973924871,3
7,2,1,1,1.56892738110704,1
5,1,1,1,4.6548123951379,3
4,7,2,3,3.51007055969359,3
1,9,1,2,1.2559565032161,3
4,5,1,4,5.88937795090712,1
3,5,2,4,3.29869782548914,3
3,12,1,1,1.6922990577254,3
2,10,2,1,1.76955903538122,3
1,7,2,4,5.96548053912367,1
7,10,2,1,2.14173567958555,3
7,4,1,4,2.62858864205005,3
5,2,2,3,1.36316804167836,3
7,10,2,3,1.77507774873108,3
5,6,2,4,1.15150642125166,2
6,5,1,1,5.72017010502796,3
4,4,2,3,1.4216735541132,1
4,3,2,2,2.98144406648314,3
4,9,2,2,3.89642865012247,3
1,4,1,4,1.10005749951386,3
7,5,1,2,3.96184857465811,3
7,9,2,2,1.09830036771844,3
4,9,2,2,3.41166284573511,1
7,11,1,2,2.59982709616639,1
1,8,1,3,4.66063275833934,3
7,4,2,1,1.68353777316302,2
7,12,1,1,1.97393323281562,3
5,10,1,1,2.25157153552433,2
4,11,1,3,1.28232914235584,3
4,9,1,1,3.45027251157127,2
2,8,1,3,2.93609189404688,3
3,5,1,3,4.36002703751418,3
1,10,1,1,1.94077375199167,3
4,10,1,1,1.11552420203987,3
4,3,1,4,2.49124181239566,2
4,2,1,3,1.60760982433424,1
7,11,2,3,3.05616436187686,3
1,9,2,1,6.18941380450339,1
3,12,2,4,2.01452914994574,1
5,2,2,2,1.30846559671061,3
2,11,1,4,1.00314924026095,1
7,5,1,2,7.86370949729292,1
7,12,2,3,2.74779290310857,2
5,8,1,4,6.90281380953667,2
7,4,2,4,2.40217957843171,3
7,3,1,4,1.08601793543997,3
4,8,1,1,6.82638371482589,3
7,11,1,4,2.68903399557565,1
7,2,2,4,1.53368337727782,3
7,12,2,3,1.58725712215121,3
7,2,1,3,1.29666549786757,1
3,3,2,3,2.3371008133564,3
5,9,1,3,3.62723347998701,3
5,6,1,3,1.01547332314406,3
4,2,2,4,1.65965529340355,1
7,10,2,2,1.73738897463444,3
7,10,1,1,2.33933253806365,2
5,2,1,4,1.13333962646386,3
7,10,2,1,2.02732332964932,3
2,8,2,3,5.61045038988157,1
4,10,2,4,1.62634169381398,3
5,10,2,2,2.30110535290849,3
5,6,2,2,1.10227451722628,1
4,1,2,4,2.14529129733546,1
1,7,2,2,3.05882981941285,3
7,8,1,2,1.15110177302862,3
1,1,2,2,1.37549181164669,2
4,9,2,1,10.717469614511,3
7,1,2,4,3.90519334380907,3
4,2,1,3,1.67708192944328,3
7,5,2,3,5.02317778668316,3
3,11,2,1,1.23961034545563,3
5,11,2,2,2.27817968421188,3
1,2,2,2,1.02581024892726,1
7,1,1,4,3.55413787108918,1
4,10,2,4,1.50062271164876,1
3,9,1,1,2.83895280249872,3
3,2,2,3,1.04097064081832,3
3,10,1,1,2.0320344264114,1
2,11,1,4,1.67107019414774,3
4,2,1,4,1.16405114199575,2
5,1,2,1,2.91845418875088,3
4,6,2,3,1.08693948594746,3
2,4,2,4,1.56097452012321,2
7,8,1,3,2.08910748084281,1
4,12,2,2,2.96624968216504,3
7,5,1,1,4.90581234464782,3
3,7,2,3,1.41235141097386,1
3,10,2,3,1.72904360322733,3
4,12,2,4,2.37075832276257,2
1,10,1,4,1.29737253705616,3
4,4,2,3,2.75493137866378,1
2,5,2,4,7.45761066718293,3
7,1,1,1,2.191538126077,3
8,4,2,4,1.24331792450607,1
7,5,2,3,5.72593037212172,3
4,10,1,1,2.01345924489234,3
2,4,2,1,1.96357950844929,2
7,4,1,4,2.46931040572077,3
1,5,1,4,5.40839564857827,1
5,1,1,4,3.69834389161963,3
4,7,2,2,10.1113924138494,3
4,2,1,2,1.62151987462604,3
7,3,1,1,2.26663635665274,1
7,7,2,4,2.03858551150981,1
5,1,2,3,3.9081363238199,2
4,9,2,1,7.48069262857945,3
5,2,2,3,1.36918531062481,1
7,11,2,1,2.61264273523645,3
1,1,1,2,3.76813456044777,3
5,8,1,1,6.3740565179466,1
7,3,1,1,2.4909030409692,2
5,7,1,3,9.97491960459375,2
5,11,1,4,1.65121851794117,3
4,9,1,2,9.94849376994077,2
1,4,1,1,2.4523927173423,3
7,9,1,3,2.5719026137986,2
5,11,2,2,1.06320684296183,3
4,6,2,1,1.0485711762248,1
5,1,2,2,1.44107822331651,3
7,6,1,4,1.02521521676207,1
4,1,2,2,3.0504678635222,1
3,9,1,2,9.1183859544633,1
7,6,1,4,1.1325604357138,2
7,8,2,3,3.822680992692,3
5,11,1,2,1.44717344098253,2
4,1,1,1,3.86273034651002,3
1,10,1,3,1.83214932093457,3
7,6,2,4,1.06069476307749,1
2,12,2,1,2.59175234663967,2
1,6,1,1,1.09519090057343,2
3,12,2,4,3.27452492787191,3
7,4,1,3,2.20708623585439,2
1,4,2,3,1.66032094549469,3
1,9,1,4,2.18795093687233,3
7,10,2,2,1.31002519693146,3
3,12,1,1,2.92311652021429,1
1,9,2,1,10.955562553834,3
8,7,1,1,8.47481928995315,3
8,10,2,2,1.20382361563771,2
1,3,1,4,1.6443132462459,3
8,9,1,3,10.0332205366368,1
8,5,2,4,7.17823771313564,3
8,7,1,4,3.10505448061234,1
8,6,1,2,1.07627564656118,3
8,3,2,1,3.16878466531547,1
8,12,2,1,1.45329059562181,3
8,2,1,4,1.68770983303701,3
8,3,1,2,1.72697347430211,1
8,8,1,3,6.92991175220686,3
8,5,2,1,2.24312888055786,3
8,7,2,2,9.2617391175159,3
8,11,1,1,3.18406946553689,3
8,3,2,1,1.04468782141186,3
8,1,1,4,2.55899020171435,1
8,3,2,2,2.12774007180418,3
8,10,1,2,2.33744809935882,1
8,11,2,3,2.63525856888951,1
8,3,2,1,2.03186775811603,1
8,12,1,4,1.40229197472709,2
8,4,2,3,1.21506178540585,1
8,5,1,2,3.14245058057094,3
8,10,2,2,1.67977899137244,1
8,7,2,1,9.35308785274346,3
8,12,2,2,2.97360769214488,3
8,5,2,1,4.48819298035032,1
8,7,2,1,6.54659056563155,2
8,12,1,1,2.68766020085958,3
8,4,1,1,1.89950826310102,3
8,3,2,1,3.51636414886334,1
8,7,2,4,10.1576170750489,3
8,10,2,3,1.54975272073902,3
8,3,2,2,3.76705500444367,1
8,3,1,1,3.04614940893699,3
8,7,2,2,1.22855335334731,3
8,10,2,4,1.70023861159633,1
8,7,1,4,3.86225845454685,2
8,10,1,3,1.80644019289008,3
8,1,1,3,3.52765105099175,2
8,8,2,4,4.69606852952343,2
8,10,2,4,1.48527799648084,3
8,10,1,2,1.3494638069683,3
8,11,2,4,1.26323132727104,3
8,7,2,3,11.7237526199745,3
8,5,2,4,5.68128830214509,3
8,12,2,1,1.29648886570671,3
8,9,1,1,1.67422788310785,3
8,5,1,1,3.72855775736089,3
8,10,2,4,1.88733645443322,3
8,5,2,2,6.05354556307925,2
8,1,1,1,1.02695889322179,1
8,12,2,3,1.70244803700793,2
8,1,2,4,4.86796823306482,3
8,6,2,4,1.08348218931646,3
8,7,2,1,6.13827272503605,3
8,9,2,4,3.14032269416431,2
8,4,1,4,2.73315435426169,2
8,11,1,4,1.45169660771314,3
8,4,1,2,2.75511135407206,3
8,8,2,1,5.71119915109124,3
8,1,1,4,2.34457308663992,1
8,1,2,2,1.56972849236117,3
8,9,2,2,1.67744535526086,2
8,11,2,1,1.6122690266498,1
8,2,2,4,1.40732072940232,1
8,3,1,1,4.19797225890067,1
8,1,1,3,2.09988532002558,3
8,4,1,1,1.76974599372994,2
8,11,1,1,1.2499131141198,1
8,12,2,2,1.34621886419111,3
8,8,1,4,1.7076518263317,3
8,12,1,1,2.93225060156857,2
8,11,1,2,2.46966040914105,3
8,2,1,1,1.19062090098009,2
8,12,2,2,1.29217554951164,3
8,2,1,2,1.60628133638502,3
8,6,2,3,1.07787368589284,1
8,1,2,3,4.35799183976036,1
8,7,1,1,10.168622946763,1
8,10,1,2,1.00393851016088,2
8,6,1,2,1.06160134308295,1
8,11,2,2,1.83114003900323,3
8,7,2,4,9.65464873771157,3
